Course Code,Course Name,Department,Credits,Semester,Instructor,Capacity,Enrollment
CHEM1150,General Chemistry I,Chemistry,2,Fall 2022,King,77,13
CHEM1150,General Chemistry I,Chemistry,1,Spring 2023,Morris,118,79
CHEM1150,General Chemistry I,Chemistry,2,Fall 2023,Cook,34,25
CHEM1150,General Chemistry I,Chemistry,2,Spring 2024,Young,103,30
CHEM1151,General Chemistry I Lab,Chemistry,3,Fall 2022,Morris,101,35
CHEM1151,General Chemistry I Lab,Chemistry,1,Spring 2023,Wright,55,78
CHEM1151,General Chemistry I Lab,Chemistry,2,Fall 2023,Alexander,118,19
CHEM1151,General Chemistry I Lab,Chemistry,0,Spring 2024,Davis,87,20
CHEM1160,General Chemistry II,Chemistry,1,Fall 2022,Campbell,47,62
CHEM1160,General Chemistry II,Chemistry,1,Spring 2023,Murphy,81,81
CHEM1160,General Chemistry II,Chemistry,4,Fall 2023,Washington,108,27
CHEM1160,General Chemistry II,Chemistry,4,Spring 2024,Edwards,54,37
MATH1100,College Algebra,Mathematics,4,Fall 2022,Collins,51,44
MATH1100,College Algebra,Mathematics,1,Spring 2023,Taylor,88,49
MATH1100,College Algebra,Mathematics,4,Fall 2023,Washington,96,37
MATH1100,College Algebra,Mathematics,3,Spring 2024,King,87,46
BIOL1100,Principles of Biology,Biology,4,Fall 2022,Hall,115,62
BIOL1100,Principles of Biology,Biology,4,Spring 2023,Torres,57,48
BIOL1100,Principles of Biology,Biology,2,Fall 2023,Harris,82,50
BIOL1100,Principles of Biology,Biology,4,Spring 2024,Phillips,44,15
BIOL1200,Principles of Biology II,Biology,3,Fall 2022,Evans,78,27
BIOL1200,Principles of Biology II,Biology,0,Spring 2023,Hall,59,71
BIOL1200,Principles of Biology II,Biology,1,Fall 2023,Stewart,30,17
BIOL1200,Principles of Biology II,Biology,3,Spring 2024,Campbell,104,36
PHYS1010,Introductory Physics I,Physics,4,Fall 2022,Brown,91,22
PHYS1010,Introductory Physics I,Physics,1,Spring 2023,Collins,36,52
PHYS1010,Introductory Physics I,Physics,5,Fall 2023,Brooks,43,20
PHYS1010,Introductory Physics I,Physics,5,Spring 2024,Stewart,60,80
PHYS1020,Introductory Physics II,Physics,2,Fall 2022,Cook,55,71
PHYS1020,Introductory Physics II,Physics,4,Spring 2023,King,64,28
PHYS1020,Introductory Physics II,Physics,2,Fall 2023,Johnson,45,78
PHYS1020,Introductory Physics II,Physics,5,Spring 2024,Stewart,116,42
ENGL1200,English Composition II,English,0,Fall 2022,Edwards,87,71
ENGL1200,English Composition II,English,3,Spring 2023,Phillips,116,95
ENGL1200,English Composition II,English,4,Fall 2023,Collins,32,25
ENGL1200,English Composition II,English,0,Spring 2024,Walker,119,59
HIST1110,World Civilization I,History,3,Fall 2022,King,66,18
HIST1110,World Civilization I,History,3,Spring 2023,Parker,117,42
HIST1110,World Civilization I,History,5,Fall 2023,Roberts,70,78
HIST1110,World Civilization I,History,2,Spring 2024,Washington,78,52
HIST1120,World Civilization II,History,5,Fall 2022,Roberts,34,60
HIST1120,World Civilization II,History,2,Spring 2023,Gray,117,84
HIST1120,World Civilization II,History,1,Fall 2023,Evans,111,78
HIST1120,World Civilization II,History,1,Spring 2024,Adams,83,55
PSYC1000,Introduction to Psychology,Psychology,0,Fall 2022,Parker,79,49
PSYC1000,Introduction to Psychology,Psychology,0,Spring 2023,Hughes,62,55
PSYC1000,Introduction to Psychology,Psychology,1,Fall 2023,Young,82,90
PSYC1000,Introduction to Psychology,Psychology,2,Spring 2024,Parker,95,65
SOCI2000,Introduction to Sociology,Sociology,4,Fall 2022,Roberts,36,60
SOCI2000,Introduction to Sociology,Sociology,3,Spring 2023,Nelson,48,36
SOCI2000,Introduction to Sociology,Sociology,0,Fall 2023,Evans,101,59
SOCI2000,Introduction to Sociology,Sociology,2,Spring 2024,Stewart,120,95
ACCT2010,Principles of Accounting I,Business,4,Fall 2022,Alexander,64,31
ACCT2010,Principles of Accounting I,Business,3,Spring 2023,Phillips,64,56
ACCT2010,Principles of Accounting I,Business,0,Fall 2023,Davis,91,41
ACCT2010,Principles of Accounting I,Business,2,Spring 2024,Adams,109,21
ACCT2020,Principles of Accounting II,Business,3,Fall 2022,Cook,104,96
ACCT2020,Principles of Accounting II,Business,4,Spring 2023,Hall,102,14
ACCT2020,Principles of Accounting II,Business,5,Fall 2023,Gray,48,27
ACCT2020,Principles of Accounting II,Business,0,Spring 2024,Wright,54,83
ECON2010,Principles of Microeconomics,Economics,1,Fall 2022,Thomas,89,52
ECON2010,Principles of Microeconomics,Economics,4,Spring 2023,Harris,115,10
ECON2010,Principles of Microeconomics,Economics,2,Fall 2023,Hughes,106,43
ECON2010,Principles of Microeconomics,Economics,2,Spring 2024,Carter,41,81
ECON2020,Principles of Macroeconomics,Economics,2,Fall 2022,Parker,36,13
ECON2020,Principles of Macroeconomics,Economics,5,Spring 2023,Phillips,102,10
ECON2020,Principles of Macroeconomics,Economics,0,Fall 2023,Murphy,30,27
ECON2020,Principles of Macroeconomics,Economics,2,Spring 2024,Stewart,32,73
COMM1000,Fundamentals of Speech,Communication,1,Fall 2022,Adams,87,35
COMM1000,Fundamentals of Speech,Communication,3,Spring 2023,Jefferson,67,90
COMM1000,Fundamentals of Speech,Communication,2,Fall 2023,Jackson,108,21
COMM1000,Fundamentals of Speech,Communication,1,Spring 2024,Allen,82,14
PHIL1010,Introduction to Philosophy,Philosophy,4,Fall 2022,Morris,86,34
PHIL1010,Introduction to Philosophy,Philosophy,4,Spring 2023,King,48,46
PHIL1010,Introduction to Philosophy,Philosophy,5,Fall 2023,Williams,62,10
PHIL1010,Introduction to Philosophy,Philosophy,1,Spring 2024,Campbell,101,82
SPAN1010,Elementary Spanish I,Languages,1,Fall 2022,Brown,42,53
SPAN1010,Elementary Spanish I,Languages,4,Spring 2023,Edwards,32,57
SPAN1010,Elementary Spanish I,Languages,0,Fall 2023,Phillips,96,44
SPAN1010,Elementary Spanish I,Languages,4,Spring 2024,Wright,88,47
CMST1010,Fundamentals of Public Speaking,Communication,0,Fall 2022,Stewart,48,22
CMST1010,Fundamentals of Public Speaking,Communication,4,Spring 2023,Campbell,53,76
CMST1010,Fundamentals of Public Speaking,Communication,1,Fall 2023,Young,101,64
CMST1010,Fundamentals of Public Speaking,Communication,0,Spring 2024,Robinson,37,40
CPSC1005,Intro to PCs and Software Applications,Computer Science,0,Fall 2022,Brown,83,81
CPSC1005,Intro to PCs and Software Applications,Computer Science,3,Spring 2023,Harris,57,55
CPSC1005,Intro to PCs and Software Applications,Computer Science,1,Fall 2023,Turner,34,46
CPSC1005,Intro to PCs and Software Applications,Computer Science,4,Spring 2024,Taylor,118,81
PSYC1010,Introduction to Psychology,Psychology,3,Fall 2022,Gray,104,38
PSYC1010,Introduction to Psychology,Psychology,2,Spring 2023,Parker,95,68
PSYC1010,Introduction to Psychology,Psychology,4,Fall 2023,Mitchell,106,50
PSYC1010,Introduction to Psychology,Psychology,2,Spring 2024,Robinson,74,43
CPSC1724,Intro to Computer Science,Computer Science,0,Fall 2022,Jefferson,77,10
CPSC1724,Intro to Computer Science,Computer Science,2,Spring 2023,Roberts,107,18
CPSC1724,Intro to Computer Science,Computer Science,0,Fall 2023,Brown,54,87
CPSC1724,Intro to Computer Science,Computer Science,4,Spring 2024,Walker,34,57
ENGL1010,English Composition and Rhetoric,English,0,Fall 2022,Adams,108,75
ENGL1010,English Composition and Rhetoric,English,5,Spring 2023,Thomas,95,97
ENGL1010,English Composition and Rhetoric,English,3,Fall 2023,Bell,114,96
ENGL1010,English Composition and Rhetoric,English,0,Spring 2024,Moore,49,20
FINC1070,Personal Finance,Finance,0,Fall 2022,Young,83,38
FINC1070,Personal Finance,Finance,1,Spring 2023,Taylor,85,12
FINC1070,Personal Finance,Finance,0,Fall 2023,Carter,66,23
FINC1070,Personal Finance,Finance,2,Spring 2024,Cook,116,36
HIST1030,World Civilizations to 1500,History,0,Fall 2022,Jackson,57,52
HIST1030,World Civilizations to 1500,History,1,Spring 2023,Stewart,89,79
HIST1030,World Civilizations to 1500,History,2,Fall 2023,Adams,120,45
HIST1030,World Civilizations to 1500,History,1,Spring 2024,Morris,94,64
MATH1030I,Intensive Precalculus,Mathematics,3,Fall 2022,Cook,57,55
MATH1030I,Intensive Precalculus,Mathematics,3,Spring 2023,Turner,43,86
MATH1030I,Intensive Precalculus,Mathematics,2,Fall 2023,Hughes,116,22
