Course Code,Course Name,Department,Credits,Semester,Year,Instructor,Capacity,Enrollment,Modalities
CHEM1150,General Chemistry I,Chemistry,3,Fall,2022,Jefferson,55,10,In-Person
CHEM1150,General Chemistry I,Chemistry,2,Spring,2022,Davis,100,34,Online
CHEM1150,General Chemistry I,Chemistry,0,Fall,2022,Roberts,98,60,In-Person
CHEM1150,General Chemistry I,Chemistry,1,Spring,2023,Jackson,74,74,Online
CHEM1151,General Chemistry I Lab,Chemistry,3,Fall,2022,Bell,69,64,Online
CHEM1151,General Chemistry I Lab,Chemistry,2,Spring,2023,Mitchell,108,97,In-Person
CHEM1151,General Chemistry I Lab,Chemistry,5,Fall,2023,Hall,54,33,In-Person
CHEM1151,General Chemistry I Lab,Chemistry,0,Spring,2023,Walker,101,79,Online
CHEM1160,General Chemistry II,Chemistry,2,Fall,2024,Evans,100,74,Hybrid
CHEM1160,General Chemistry II,Chemistry,4,Spring,2022,Young,89,62,In-Person
CHEM1160,General Chemistry II,Chemistry,2,Fall,2022,Davis,33,67,Hybrid
CHEM1160,General Chemistry II,Chemistry,5,Spring,2023,Hall,75,84,Online
MATH1100,College Algebra,Mathematics,4,Fall,2023,Hughes,60,36,Online
MATH1100,College Algebra,Mathematics,0,Spring,2024,Collins,77,57,In-Person
MATH1100,College Algebra,Mathematics,2,Fall,2023,Campbell,119,84,Hybrid
MATH1100,College Algebra,Mathematics,5,Spring,2024,Morris,78,92,In-Person
BIOL1100,Principles of Biology,Biology,1,Fall,2023,Brown,33,16,Online
BIOL1100,Principles of Biology,Biology,1,Spring,2024,Baker,55,63,In-Person
BIOL1100,Principles of Biology,Biology,5,Fall,2023,Roberts,87,86,In-Person
BIOL1100,Principles of Biology,Biology,4,Spring,2023,Alexander,90,35,Hybrid
BIOL1200,Principles of Biology II,Biology,4,Fall,2023,Torres,48,51,In-Person
BIOL1200,Principles of Biology II,Biology,4,Spring,2023,Brown,70,59,Hybrid
BIOL1200,Principles of Biology II,Biology,2,Fall,2024,Turner,91,80,Hybrid
BIOL1200,Principles of Biology II,Biology,2,Spring,2023,Collins,32,16,Hybrid
PHYS1010,Introductory Physics I,Physics,0,Fall,2023,Cook,85,47,In-Person
PHYS1010,Introductory Physics I,Physics,1,Spring,2022,Green,44,81,Hybrid
PHYS1010,Introductory Physics I,Physics,2,Fall,2023,Scott,65,79,Hybrid
PHYS1010,Introductory Physics I,Physics,0,Spring,2023,Jefferson,120,51,Hybrid
PHYS1020,Introductory Physics II,Physics,1,Fall,2023,Allen,54,73,In-Person
PHYS1020,Introductory Physics II,Physics,5,Spring,2023,Evans,53,85,Online
PHYS1020,Introductory Physics II,Physics,4,Fall,2023,Phillips,43,39,Online
PHYS1020,Introductory Physics II,Physics,5,Spring,2023,Harris,105,35,In-Person
ENGL1200,English Composition II,English,5,Fall,2023,Harris,92,27,Online
ENGL1200,English Composition II,English,2,Spring,2023,Jefferson,60,49,Online
ENGL1200,English Composition II,English,5,Fall,2023,Campbell,56,82,Hybrid
ENGL1200,English Composition II,English,3,Spring,2023,Allen,98,27,Online
HIST1110,World Civilization I,History,2,Fall,2023,Murphy,54,98,In-Person
HIST1110,World Civilization I,History,4,Spring,2022,Bell,44,51,Online
HIST1110,World Civilization I,History,0,Fall,2023,Campbell,52,76,Hybrid
HIST1110,World Civilization I,History,5,Spring,2023,Evans,105,38,Online
HIST1120,World Civilization II,History,0,Fall,2023,Collins,37,84,Online
HIST1120,World Civilization II,History,5,Spring,2022,Young,52,44,In-Person
HIST1120,World Civilization II,History,4,Fall,2024,Gray,117,10,In-Person
HIST1120,World Civilization II,History,5,Spring,2024,Edwards,38,75,Hybrid
PSYC1000,Introduction to Psychology,Psychology,0,Fall,2023,Allen,45,100,Hybrid
PSYC1000,Introduction to Psychology,Psychology,0,Spring,2023,Jackson,118,63,Online
PSYC1000,Introduction to Psychology,Psychology,1,Fall,2024,Davis,71,89,Online
PSYC1000,Introduction to Psychology,Psychology,3,Spring,2023,Washington,96,50,Online
SOCI2000,Introduction to Sociology,Sociology,1,Fall,2023,Phillips,67,91,Online
SOCI2000,Introduction to Sociology,Sociology,2,Spring,2024,Washington,95,97,In-Person
SOCI2000,Introduction to Sociology,Sociology,5,Fall,2024,Davis,43,10,In-Person
SOCI2000,Introduction to Sociology,Sociology,4,Spring,2024,Williams,77,67,Hybrid
ACCT2010,Principles of Accounting I,Business,5,Fall,2024,Thomas,82,88,Hybrid
ACCT2010,Principles of Accounting I,Business,2,Spring,2023,Jackson,90,47,Hybrid
ACCT2010,Principles of Accounting I,Business,4,Fall,2024,Thomas,85,78,In-Person
ACCT2010,Principles of Accounting I,Business,4,Spring,2023,Hall,67,20,In-Person
ACCT2020,Principles of Accounting II,Business,4,Fall,2023,Scott,89,87,Hybrid
ACCT2020,Principles of Accounting II,Business,0,Spring,2023,Thomas,118,29,Hybrid
